"Data Source: 2016 Dataset (released March 2018)"
" "
"Facility name","TRI ID","Address","City","County","State","Zip Code","Year","Chemical","CAS","Federal (F) or Commercial (C)","Form Type (Form R or A)","Industry","Fugitive Air","Stack Air","Total Air","Surface Water Discharge","Underground Injection","Land Disposal","Total on-site release","Off-site release","Total on- and off-site releases","Transfer to recycling","Transfer to energy recovery","Transfer to treatment","Transfer to POTWs","Other off-site transfer","Total transfers off-site for waste management","Recycled on-site","Recycled off-site","Energy recovery on-site","Energy recovery off-site","Treated on-site","Treated off-site","Quantity released on- and off-site","Total production-related waste managed","Non production-related waste managed"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","NICKEL COMPOUNDS","'N495'","C","R","NAICS 2122 - Metal Mining","       250.0000000","       250.0000000","       500.0000000","      1600.0000000","          .0000000","   5200000.0000000","   5452100.0000000",".","   5452100.0000000",".",".",".",".","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    270000.0000000","    270000.0000000","   5200000.0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","NITRATE COMPOUNDS","'N511'","C","R","NAICS 2122 - Metal Mining","          .0000000","          .0000000","          .0000000","      5000.0000000","          .0000000","         5.0000000","    565005.0000000",".","    565005.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    570000.0000000","    570000.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","SELENIUM COMPOUNDS","'N725'","C","R","NAICS 2122 - Metal Mining","         5.0000000","         5.0000000","        10.0000000","       250.0000000","          .0000000","    670000.0000000","    671010.0000000",".","    671010.0000000",".",".",".",".","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","      1000.0000000","      1000.0000000","    670000.0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","SILVER COMPOUNDS","'N740'","C","R","NAICS 2122 - Metal Mining","         5.0000000","         5.0000000","        10.0000000","       250.0000000","          .0000000","    540000.0000000","    540510.0000000",".","    540510.0000000",".",".",".",".","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","       520.0000000","       520.0000000","    540000.0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY)","'007664939'","C","R","NAICS 2122 - Metal Mining","       750.0000000","          .0000000","       750.0000000","          .0000000","          .0000000","          .0000000","       750.0000000",".","       750.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","       930.0000000","       930.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","THALLIUM COMPOUNDS","'N760'","C","R","NAICS 2122 - Metal Mining","         5.0000000","          .0000000","         5.0000000","       250.0000000","          .0000000","    120000.0000000","    121005.0000000",".","    121005.0000000",".",".",".",".","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","      1300.0000000","      1300.0000000","    120000.0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","ZINC COMPOUNDS","'N982'","C","R","NAICS 2122 - Metal Mining","       250.0000000","       250.0000000","       500.0000000","      3810.0000000","          .0000000","  34000000.0000000","  34007910.0000000",".","  34007910.0000000",".",".",".",".","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    100000.0000000","    100000.0000000","  34000000.0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","2000","AMMONIA","'007664417'","C","R","NAICS 2122 - Metal Mining","      4800.0000000","          .0000000","      4800.0000000","          .0000000","          .0000000","          .0000000","      4800.0000000",".","      4800.0000000",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","      4800.0000000","      4800.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","2000","ANTIMONY COMPOUNDS","'N010'","C","R","NAICS 2122 - Metal Mining","         5.0000000","       250.0000000","       255.0000000","       250.0000000","          .0000000","    130000.0000000","    130755.0000000","          .0000000","    130755.0000000",".",".",".","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","       800.0000000","       800.0000000","    130000.0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","2000","ARSENIC COMPOUNDS","'N020'","C","R","NAICS 2122 - Metal Mining","       250.0000000","         5.0000000","       255.0000000","       250.0000000","          .0000000","   2200000.0000000","   2370505.0000000","          .0000000","   2370505.0000000",".",".",".","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    170000.0000000","    170000.0000000","   2200000.0000000"
